"sex","self_neuroticism","self_extraversion","self_openness","self_agreeableness","self_conscientiousness","other_neuroticism","other_extraversion","other_openness","other_agreeableness","other_conscientiousness"
"male",12.8333333333333,17.8333333333333,15.3333333333333,23.8333333333333,22.8333333333333,15.6666666666667,17.6666666666667,16,15.5,17.6666666666667
"male",13.1666666666667,21.5,17.3333333333333,14,22,11.1666666666667,22.6666666666667,19.1666666666667,16.6666666666667,24.3333333333333
"male",13.8333333333333,11,14.6666666666667,20,21.5,16.5,10,11.6666666666667,23.6666666666667,21.1666666666667
"female",14.5,17.8333333333333,17.6666666666667,20.8333333333333,22,16,21.1666666666667,16.8333333333333,13.5,26.3333333333333
"male",12.8333333333333,21.6666666666667,16,20,22.3333333333333,12.8333333333333,23.5,15.6666666666667,19.8333333333333,22
"female",21.8333333333333,10.3333333333333,18.3333333333333,23.6666666666667,14.6666666666667,21,15.3333333333333,16.3333333333333,25.1666666666667,14
"female",11.8333333333333,16.1666666666667,19.3333333333333,20.1666666666667,21,14.3333333333333,18.3333333333333,18,18.5,20.1666666666667
"male",13.3333333333333,15.8333333333333,13.6666666666667,21.1666666666667,16.6666666666667,8.66666666666667,23.8333333333333,15.6666666666667,23.5,24.1666666666667
"male",18,17,20.3333333333333,17.1666666666667,17,18.6666666666667,12.3333333333333,18.3333333333333,15.3333333333333,23.3333333333333
"female",16.8333333333333,19.6666666666667,23.1666666666667,20.1666666666667,19,18,19.1666666666667,18.8333333333333,20.1666666666667,22.5
"male",8.66666666666667,22,16,21.5,22.5,15.3333333333333,18,14.6666666666667,17.1666666666667,18.1666666666667
"male",16,17.1666666666667,14.1666666666667,18.3333333333333,17.3333333333333,14.8333333333333,17.8333333333333,17,16.6666666666667,15.3333333333333
"female",11,16.5,22.6666666666667,24.1666666666667,22.3333333333333,12.6666666666667,18.6666666666667,16.8333333333333,21,24.6666666666667
"female",18,9.83333333333333,17.8333333333333,23.3333333333333,18.6666666666667,15.3333333333333,11.6666666666667,16.5,20.6666666666667,21
"female",12.3333333333333,17.6666666666667,20,21.1666666666667,21,18.6666666666667,18.6666666666667,17.5,17.5,15.5
"male",19,15.6666666666667,13.1666666666667,17.1666666666667,19,14.5,15.3333333333333,12,18.5,22.3333333333333
"female",16.6666666666667,17.6666666666667,14.8333333333333,19.6666666666667,20.5,17.3333333333333,13,13.6666666666667,22.3333333333333,24.8333333333333
"male",11,16.8333333333333,12,18.8333333333333,18.1666666666667,11.1666666666667,19,14.1666666666667,19.3333333333333,19.1666666666667
"female",15,20.1666666666667,19,19.3333333333333,20.1666666666667,7.83333333333333,27.3333333333333,21.8333333333333,25.5,30.5
"male",13.6666666666667,14.5,13.5,24.8333333333333,23.8333333333333,14.1666666666667,16.6666666666667,13.5,25.5,23
"male",13.5,9.66666666666667,6.83333333333333,25.1666666666667,18.8333333333333,11.8333333333333,18.3333333333333,9.5,23.1666666666667,22.8333333333333
"female",18.6666666666667,15.1666666666667,14.6666666666667,19.8333333333333,20.1666666666667,20.6666666666667,19.6666666666667,14.3333333333333,17.6666666666667,22.3333333333333
"female",17,16.5,16.3333333333333,21.3333333333333,21.6666666666667,7,17.6666666666667,17,22.1666666666667,27.3333333333333
"female",21.3333333333333,12.5,15.3333333333333,26,24.1666666666667,12.8333333333333,23.8333333333333,20.3333333333333,13.6666666666667,24
"male",15.5,19.8333333333333,18.6666666666667,15.1666666666667,23.1666666666667,10.6666666666667,20,17,17.8333333333333,25.6666666666667
"male",6.83333333333333,19.1666666666667,15.1666666666667,27.3333333333333,24.3333333333333,6.5,22.3333333333333,21.1666666666667,30,29.1666666666667
"male",19.6666666666667,12.6666666666667,14.5,19.5,16,19.6666666666667,7.33333333333333,10.6666666666667,16.6666666666667,9.83333333333333
"female",17.6666666666667,11.5,13.5,18.1666666666667,18.8333333333333,20.6666666666667,11,13.8333333333333,17.5,19.6666666666667
"female",24.8333333333333,16.8333333333333,16.6666666666667,21.1666666666667,11.8333333333333,16.6666666666667,19.8333333333333,17.3333333333333,18,20.8333333333333
"male",19.1666666666667,10.8333333333333,11.6666666666667,18.3333333333333,20.6666666666667,17.5,16.8333333333333,13.3333333333333,18,16.6666666666667
"male",12,18.1666666666667,12,24.5,17.5,17.3333333333333,23.1666666666667,15.1666666666667,18.8333333333333,15.5
"female",19,11.6666666666667,15,17.8333333333333,17.1666666666667,13.8333333333333,7.66666666666667,9.83333333333333,20.8333333333333,18
"male",20.5,14.6666666666667,15,21,23.1666666666667,17.6666666666667,17.5,15.5,21.8333333333333,20
"female",11.8333333333333,15.8333333333333,13,19,18,12.3333333333333,18.5,13.8333333333333,19.8333333333333,23.1666666666667
"female",7.16666666666667,16.6666666666667,17.3333333333333,20.1666666666667,20.1666666666667,9.83333333333333,19,15.8333333333333,20.1666666666667,23
"male",7.5,12.1666666666667,17.6666666666667,18.1666666666667,23.8333333333333,5.66666666666667,18.1666666666667,17.1666666666667,18.8333333333333,20.8333333333333
"female",15.8333333333333,18.6666666666667,19,21.8333333333333,16,14.6666666666667,18.6666666666667,17.8333333333333,18.5,21
"male",10.3333333333333,21.1666666666667,8.16666666666667,26.8333333333333,15.1666666666667,9,21.6666666666667,9.83333333333333,26.5,11.3333333333333
"male",16,15.6666666666667,16.5,15.5,15.1666666666667,17.6666666666667,19.8333333333333,16.6666666666667,13.8333333333333,13.6666666666667
"female",14.5,18.5,11.6666666666667,22.5,16.6666666666667,11.8333333333333,22.6666666666667,12,20.8333333333333,17.8333333333333
"female",13.1666666666667,18.5,20.5,21,22.8333333333333,13.1666666666667,20.6666666666667,17.6666666666667,21,25.1666666666667
"female",9.83333333333333,15.8333333333333,20.5,19.6666666666667,17,10.8333333333333,13,21.1666666666667,24.8333333333333,17.8333333333333
"female",19.1666666666667,19.8333333333333,17.5,19.1666666666667,19.5,14,21.1666666666667,15.8333333333333,16.3333333333333,22.6666666666667
"male",13.5,17.8333333333333,15.3333333333333,17,19.5,3.83333333333333,24.5,18.5,25.8333333333333,29.5
"male",14,20.8333333333333,16,20.1666666666667,22.8333333333333,10.3333333333333,18,15.3333333333333,21.1666666666667,24.5
"male",15.6666666666667,9.33333333333333,14,17.6666666666667,16.5,5.66666666666667,21.8333333333333,17.3333333333333,26,27.8333333333333
"male",3.5,15.3333333333333,14.8333333333333,24.8333333333333,24,2.66666666666667,17.3333333333333,17.5,26.8333333333333,27.5
"male",15.5,16.1666666666667,15.8333333333333,20.5,19.3333333333333,11,13,10.5,18.5,20.8333333333333
"female",16.5,15.3333333333333,18,20.3333333333333,19,16.8333333333333,16.5,17.8333333333333,20.3333333333333,20.8333333333333
"male",16.5,12.8333333333333,12.3333333333333,22.6666666666667,18.6666666666667,16,6.16666666666667,10.3333333333333,14.6666666666667,12.1666666666667
"male",17,13.1666666666667,13.3333333333333,19.5,17.1666666666667,17.6666666666667,11.8333333333333,12,17,14.8333333333333
"female",18,16.8333333333333,16.6666666666667,19.6666666666667,18.8333333333333,16,18,17.3333333333333,20.3333333333333,20.6666666666667
"male",14.3333333333333,14.1666666666667,14.8333333333333,13.6666666666667,19,16.6666666666667,18.3333333333333,17.5,16.8333333333333,20.6666666666667
"male",15.8333333333333,16.6666666666667,13,19,24.6666666666667,10.8333333333333,18.5,14.6666666666667,22.8333333333333,25.1666666666667
"male",13,19.1666666666667,16.5,20.5,22.6666666666667,10.3333333333333,22,14.5,24.5,25.1666666666667
"female",14.5,20.6666666666667,21.1666666666667,22.1666666666667,24.1666666666667,7.83333333333333,23.5,21,24.3333333333333,27
"female",21.1666666666667,9.16666666666667,10.1666666666667,29.8333333333333,25,20.5,10.8333333333333,14.6666666666667,26.5,24.6666666666667
"female",16.6666666666667,15.1666666666667,12,22,23.6666666666667,14.1666666666667,15.6666666666667,10.1666666666667,20.8333333333333,22.6666666666667
"male",14.1666666666667,6.33333333333333,15,19.8333333333333,15.8333333333333,10.6666666666667,6.16666666666667,14.6666666666667,16.8333333333333,19.6666666666667
"male",14.6666666666667,14.8333333333333,14.1666666666667,20.1666666666667,21.5,11,19,13.1666666666667,21.6666666666667,25
"female",11.6666666666667,14.6666666666667,11,24.1666666666667,16.1666666666667,9.66666666666667,23,18.3333333333333,19.6666666666667,22.5
"male",19.1666666666667,18,21.3333333333333,17.5,18.5,19,19.5,17,16.8333333333333,18.1666666666667
"female",11.3333333333333,25.3333333333333,24.8333333333333,19.1666666666667,18.1666666666667,8.5,24.1666666666667,23.1666666666667,23.3333333333333,22.6666666666667
"male",14.8333333333333,20.6666666666667,17,20,19.6666666666667,8.66666666666667,24,16.1666666666667,26,18.6666666666667
"male",11.8333333333333,5,12,23.6666666666667,25.6666666666667,3.5,7.83333333333333,15.1666666666667,25,28
"male",9.16666666666667,18,16,24.5,26.5,16.6666666666667,11.5,13,20,17.3333333333333
"male",13.5,15,17.5,21.8333333333333,20.6666666666667,11.6666666666667,16.6666666666667,17.1666666666667,21.6666666666667,20.1666666666667
"female",13.3333333333333,14.5,20,24.6666666666667,21.6666666666667,9.5,19.3333333333333,17.6666666666667,27.1666666666667,20.3333333333333
"female",20.1666666666667,9.66666666666667,12.6666666666667,19.3333333333333,20.5,20,11.3333333333333,13,18.6666666666667,21.3333333333333
"female",22.6666666666667,20,17.5,13.3333333333333,17.5,20.1666666666667,17.5,17.3333333333333,14.3333333333333,17.3333333333333
"female",15,13.1666666666667,12,22.6666666666667,18.3333333333333,12.8333333333333,16,13.3333333333333,23.3333333333333,18
"female",11,19,12.8333333333333,22.3333333333333,22.8333333333333,15.3333333333333,18.3333333333333,13.8333333333333,13.1666666666667,11
"male",18.8333333333333,17.5,13.5,21.1666666666667,15.3333333333333,15.6666666666667,16.6666666666667,11,17.1666666666667,20
"female",10.1666666666667,25.6666666666667,19.8333333333333,21,22.5,8.83333333333333,25.6666666666667,13.1666666666667,18.1666666666667,20.6666666666667
"male",5.83333333333333,22.1666666666667,16.6666666666667,23,27.6666666666667,11.3333333333333,20.5,16.8333333333333,14.6666666666667,25.5
"female",13.6666666666667,13.8333333333333,13.6666666666667,23.8333333333333,16.5,15.8333333333333,10.5,9.5,23.5,21.6666666666667
"female",16.1666666666667,19.6666666666667,15.5,19.5,14.1666666666667,16.5,22,15.3333333333333,19.1666666666667,13.3333333333333
"female",16.6666666666667,9.66666666666667,14,20.1666666666667,19.1666666666667,15.6666666666667,12.5,13.5,20.5,17.3333333333333
"male",14.8333333333333,16,16.3333333333333,19.5,17.1666666666667,14.5,17.6666666666667,14.6666666666667,18.8333333333333,18.6666666666667
"female",15.6666666666667,13.3333333333333,13,22,20,19.5,19.6666666666667,16.1666666666667,20,26.3333333333333
"female",17,13.8333333333333,10.1666666666667,19.8333333333333,17,17.6666666666667,13.6666666666667,11.5,22,18.5
"male",16.5,17.1666666666667,15,20.3333333333333,18.3333333333333,16,17.5,13.8333333333333,20.1666666666667,18.8333333333333
"female",15.3333333333333,13.8333333333333,18.3333333333333,20.6666666666667,21.1666666666667,15.3333333333333,13.3333333333333,16.3333333333333,23.8333333333333,25.3333333333333
"female",8.33333333333333,17.3333333333333,16.6666666666667,25.1666666666667,22.8333333333333,11.8333333333333,15,13.3333333333333,23,22.8333333333333
"male",14.5,10.3333333333333,10.3333333333333,19.6666666666667,14.5,14.8333333333333,14.6666666666667,11.8333333333333,18,15.1666666666667
"male",7.83333333333333,24.3333333333333,19.3333333333333,20.1666666666667,27.3333333333333,15.3333333333333,18.5,17.6666666666667,16.3333333333333,16
"male",13.3333333333333,13,9.83333333333333,20.3333333333333,14.8333333333333,14.5,10.8333333333333,10.1666666666667,19.1666666666667,14.8333333333333
"female",19.3333333333333,10.1666666666667,13.5,18,20.5,22.1666666666667,10.6666666666667,12.8333333333333,18,19.6666666666667
"male",13.8333333333333,11.5,19,25,16.1666666666667,13,20.5,17.1666666666667,17.1666666666667,17.3333333333333
"male",17.5,15.6666666666667,17.3333333333333,19,21.6666666666667,13.6666666666667,15.1666666666667,17,19.6666666666667,22.3333333333333
"female",18.8333333333333,18.5,20.1666666666667,16.6666666666667,13,12.6666666666667,16.5,12.6666666666667,22.8333333333333,21.1666666666667
"female",16.8333333333333,15.1666666666667,14.8333333333333,21.8333333333333,18.3333333333333,10,20.1666666666667,16.6666666666667,23.3333333333333,24
"male",16.8333333333333,13.1666666666667,13.8333333333333,13.8333333333333,24.8333333333333,19.5,15.1666666666667,9.66666666666667,14.1666666666667,20
"male",22.5,16.3333333333333,12.3333333333333,5.66666666666667,22.6666666666667,21.8333333333333,18.5,14.1666666666667,10.5,20
"female",12.8333333333333,22.6666666666667,19.8333333333333,19.1666666666667,22.3333333333333,16.3333333333333,18.6666666666667,17.1666666666667,18.8333333333333,20.5
"female",21.3333333333333,11,17.1666666666667,17.5,11.1666666666667,23.1666666666667,8.83333333333333,18.6666666666667,17,12.3333333333333
"male",11.1666666666667,10.8333333333333,8.66666666666667,20.5,19,8.83333333333333,11.8333333333333,11.3333333333333,24.6666666666667,23.1666666666667
"male",8.5,16.8333333333333,17.8333333333333,20.6666666666667,25.1666666666667,5.83333333333333,21,17.5,22.3333333333333,27
"female",7.83333333333333,20.6666666666667,20.1666666666667,22.1666666666667,29.1666666666667,11.6666666666667,22,18.5,19.8333333333333,23.3333333333333
"female",14.1666666666667,16.3333333333333,21,21.8333333333333,24.5,12.3333333333333,15.8333333333333,17.8333333333333,19,24.1666666666667
"female",11.3333333333333,16.8333333333333,16.5,19.3333333333333,21.6666666666667,10.6666666666667,13.1666666666667,11.5,23.3333333333333,20.6666666666667
"male",12.1666666666667,9.5,13.1666666666667,20,21.8333333333333,13.1666666666667,13.6666666666667,14.6666666666667,19.5,23
"male",15.6666666666667,18.6666666666667,19.6666666666667,14.8333333333333,19.8333333333333,22.3333333333333,13.5,14.8333333333333,12.3333333333333,13.8333333333333
"male",26,8.5,17,19.8333333333333,15.3333333333333,10.6666666666667,20.1666666666667,22.6666666666667,21.8333333333333,26.1666666666667
"female",12.6666666666667,23.6666666666667,17.3333333333333,25.1666666666667,27.6666666666667,11.1666666666667,25.3333333333333,17.6666666666667,25.1666666666667,28.6666666666667
"female",21.5,12.1666666666667,18.1666666666667,18.8333333333333,22.3333333333333,16.3333333333333,11.6666666666667,14.6666666666667,22.5,22
"male",17.3333333333333,10.1666666666667,16.1666666666667,18.8333333333333,16.8333333333333,14.8333333333333,13.3333333333333,15.3333333333333,19.8333333333333,16.3333333333333
"female",21.3333333333333,19.5,16,23.5,25.8333333333333,13,25.1666666666667,21.6666666666667,24.3333333333333,25.5
"female",15.5,15.1666666666667,17.1666666666667,20.6666666666667,18.8333333333333,14.6666666666667,19.3333333333333,19.5,23.1666666666667,24.5
"male",15.8333333333333,9,12,20.3333333333333,12.5,22.1666666666667,10.5,12.8333333333333,14.3333333333333,8.16666666666667
"male",20,14.6666666666667,11.8333333333333,19.1666666666667,16.1666666666667,19.1666666666667,13.3333333333333,11.3333333333333,22,20.1666666666667
"female",17.8333333333333,20.3333333333333,20.5,19.3333333333333,23.8333333333333,21.8333333333333,16.1666666666667,17.1666666666667,17.5,20.8333333333333
"male",7.66666666666667,12.6666666666667,17.8333333333333,27.3333333333333,22.1666666666667,6.83333333333333,11.1666666666667,15.5,25.3333333333333,27.3333333333333
"male",13.3333333333333,15.1666666666667,15,21.3333333333333,20,14.3333333333333,15.3333333333333,9.66666666666667,14.8333333333333,16.3333333333333
"male",19.6666666666667,13.3333333333333,7.83333333333333,20,14.1666666666667,17.8333333333333,20.5,13.3333333333333,17.1666666666667,15.6666666666667
"male",14.3333333333333,17.1666666666667,16.6666666666667,17,16.8333333333333,13,15.8333333333333,16.8333333333333,14,17.1666666666667
"male",10.5,17.5,14.8333333333333,20.3333333333333,22.1666666666667,9.5,24.1666666666667,13,24.1666666666667,27
"female",13,18,14.5,22,24,8.66666666666667,21.3333333333333,12.5,24.6666666666667,29.3333333333333
"female",12.6666666666667,19.3333333333333,15,19.8333333333333,25,12.1666666666667,23.6666666666667,9.5,16.6666666666667,21.8333333333333
"female",18.6666666666667,10.5,14.3333333333333,19.1666666666667,18,16.3333333333333,15.8333333333333,18.1666666666667,25.3333333333333,27.1666666666667
"female",17.1666666666667,14.5,20.8333333333333,16.1666666666667,21.6666666666667,21.1666666666667,15.8333333333333,20,17,23
"female",16.3333333333333,18.3333333333333,13.3333333333333,22.5,23.8333333333333,13.8333333333333,17.3333333333333,12,21.5,27.1666666666667
"female",14.3333333333333,21.3333333333333,21.3333333333333,19.1666666666667,22.3333333333333,15.1666666666667,20.6666666666667,16.3333333333333,17.6666666666667,22.5
"male",17.6666666666667,18.5,14.3333333333333,17.5,20.5,15.1666666666667,20.1666666666667,17.5,20,22.6666666666667
"male",13.3333333333333,14.8333333333333,15.1666666666667,18,20.3333333333333,14,13.6666666666667,16.8333333333333,25.1666666666667,23
"male",13.3333333333333,21.8333333333333,16.3333333333333,20.8333333333333,19.1666666666667,14.1666666666667,23,17.6666666666667,19.5,22.3333333333333
"male",12,21.8333333333333,18.6666666666667,21,24,11.1666666666667,22.3333333333333,13.3333333333333,21.1666666666667,22.5
"female",22.6666666666667,4.83333333333333,16.3333333333333,18.3333333333333,20.6666666666667,13.5,3.83333333333333,11.8333333333333,22.3333333333333,24.3333333333333
"male",11,23.8333333333333,18.3333333333333,17,23.5,13.6666666666667,18.5,16.3333333333333,18.3333333333333,20
"female",16.6666666666667,16.1666666666667,12.8333333333333,19.6666666666667,17.1666666666667,17.8333333333333,16.1666666666667,14.8333333333333,21.3333333333333,19.5
"male",15.6666666666667,7.66666666666667,19.1666666666667,22,21.1666666666667,10.3333333333333,12,15.5,24,26.3333333333333
"male",10.8333333333333,18,16,22.5,24.3333333333333,9.5,18.5,12.8333333333333,20.3333333333333,25
"male",15.5,14.3333333333333,13.8333333333333,18,20,12.3333333333333,12.5,14,22,21.8333333333333
"female",16.5,16.3333333333333,17.6666666666667,23.3333333333333,22.3333333333333,16.1666666666667,13.5,13,22.1666666666667,19
"female",17.1666666666667,10.8333333333333,13.3333333333333,19.1666666666667,20.5,16.8333333333333,10.5,13.6666666666667,20.6666666666667,22.6666666666667
"female",15.3333333333333,21.6666666666667,21,19.8333333333333,11.8333333333333,21.1666666666667,22,26.6666666666667,18.1666666666667,8.16666666666667
"female",18,14,13.5,26.5,21.5,17.5,15.5,13.3333333333333,25.5,24.3333333333333
"male",8,14.8333333333333,11.8333333333333,20.5,23,9,15.6666666666667,12.5,21.1666666666667,25.6666666666667
"female",14.3333333333333,15.3333333333333,15.6666666666667,24.1666666666667,25.8333333333333,11.8333333333333,17.8333333333333,14.6666666666667,25.8333333333333,27.6666666666667
"male",8.83333333333333,22.6666666666667,16.6666666666667,23,24.8333333333333,15.5,21.1666666666667,19.5,18.5,18.8333333333333
"female",13.1666666666667,11.6666666666667,14.8333333333333,17.8333333333333,21,19.8333333333333,13.3333333333333,17.8333333333333,17.3333333333333,23.1666666666667
"female",12.1666666666667,22.3333333333333,18,18.3333333333333,18.6666666666667,16.6666666666667,20.5,18.8333333333333,17.1666666666667,19.6666666666667
"male",18.8333333333333,13.5,15.1666666666667,26.3333333333333,23.6666666666667,14,14.1666666666667,14.5,26.8333333333333,22.3333333333333
"female",10.5,22,18.1666666666667,13,22.3333333333333,11.8333333333333,25.3333333333333,19.8333333333333,18.1666666666667,19.8333333333333
"male",12.3333333333333,18,19.8333333333333,18,20.6666666666667,6.33333333333333,19.6666666666667,16.5,19,19.8333333333333
"female",17.3333333333333,17.3333333333333,19.6666666666667,25,21.3333333333333,19,14.3333333333333,17.5,19,14.1666666666667
"male",9.83333333333333,20.1666666666667,18.8333333333333,22,18.3333333333333,12.5,23.1666666666667,18,21.1666666666667,13.8333333333333
"female",16,20.8333333333333,16.8333333333333,23,20.8333333333333,15.5,22.3333333333333,14.6666666666667,24.3333333333333,21.8333333333333
"male",14.8333333333333,15,17,19.8333333333333,18.5,20,14.3333333333333,13.5,20.1666666666667,10.6666666666667
"female",21,27.6666666666667,23.8333333333333,14.6666666666667,15.1666666666667,18.3333333333333,25.8333333333333,21.8333333333333,12.5,15.6666666666667
"male",15.6666666666667,18.3333333333333,15.6666666666667,19.8333333333333,21.1666666666667,14.3333333333333,16.8333333333333,16,20,21.3333333333333
"male",15.8333333333333,12.6666666666667,12.5,17.3333333333333,17.1666666666667,14.8333333333333,17.1666666666667,12.3333333333333,16.6666666666667,15.1666666666667
"male",19.8333333333333,14.3333333333333,17,16.1666666666667,16.6666666666667,12.1666666666667,15.8333333333333,11.8333333333333,19.1666666666667,19.8333333333333
"male",9.16666666666667,23.6666666666667,17.5,21.6666666666667,23.5,7.66666666666667,21.1666666666667,16,23,23.6666666666667
